ID,vina_kcal_mol
B_seed2026_gen010_top3,-7.867
B_seed2026_gen012_top2,-7.867
C_seed2027_final_top4,-6.983
C_seed2027_gen012_top5,-6.983
D_seed2026_gen010_top1,-6.983
D_seed2027_gen010_top5,-6.983
C_seed2029_final_top10,-8.255
D_seed2026_gen010_top5,-8.255
A_seed2028_final_top3,-7.528
A_seed2028_gen011_top5,-7.528
A_seed2028_final_top9,-7.97
A_seed2028_gen006_top1,-7.97
A_seed2028_gen007_top3,-7.97
A_seed2028_gen008_top2,-7.97
A_seed2028_gen009_top4,-7.97
A_seed2028_final_top2,-8.293
A_seed2028_gen002_top1,-8.293
A_seed2028_gen003_top1,-8.293
A_seed2028_gen004_top1,-8.293
A_seed2028_gen005_top1,-8.293
A_seed2028_gen006_top4,-8.293
A_seed2028_gen007_top4,-8.293
A_seed2028_gen008_top3,-8.293
A_seed2028_gen012_top4,-8.293
A_seed2028_final_top8,-8.244
A_seed2028_gen009_top2,-8.244
A_seed2028_gen012_top3,-8.244
C_seed2027_final_top9,-7.046
C_seed2027_gen008_top2,-7.046
C_seed2027_gen009_top5,-7.046
C_seed2027_gen012_top3,-7.046
D_seed2027_gen008_top5,-7.046
D_seed2027_gen009_top3,-7.046
