ID,smiles,method,method_label,init_mode,seed,rank,p_sweet_reencoded,pred_logsw_reencoded,d_ood_reencoded,final_score,sweet_gate_pass,pred_logsw_pass,ood_pass,pre_docking_goldlike,vina_kcal_mol,real_vina_supported,gold_real_vina
A_seed2030_final_top5,CNC1C(=O)C23CC4c5ccc6cc5OC2(C(=O)N1NC3=O)N64,A,Random latent GA,group_a_random,2030,5,0.0188024695962667,3.3319015502929688,6.687583923339844,2.6963448333740234,False,True,True,False,-9.553,True,False
A_seed2030_final_top6,CC1=C(C)NC2(Cc3ccc(O)cc3OC2S(C)(=O)=O)C(=O)N1,A,Random latent GA,group_a_random,2030,6,0.2698176801204681,3.3260843753814697,6.001492500305176,3.0368473529815674,False,True,True,False,-7.549,True,False
A_seed2030_final_top7,CC1=C2C=CN3Cc4ccc(O)cc4OC34CN1C(C)N24,A,Random latent GA,group_a_random,2030,7,0.0582398809492588,3.3198931217193604,5.832036018371582,2.755604982376098,False,True,True,False,-7.502,True,False
A_seed2030_final_top8,CC=C1C=C2C(C(=O)N1)C1CN3c4ccnc(c4)C23N1CO,A,Random latent GA,group_a_random,2030,8,0.2591516971588135,3.27608323097229,6.302680015563965,2.972980499267578,False,True,True,False,-7.583,True,False
A_seed2030_final_top9,CC=C1N=C2C3=CN4C1=C1N2C42C4CC(=O)N2NC(=O)C314,A,Random latent GA,group_a_random,2030,9,0.0451228097081184,3.2410824298858643,6.9197869300842285,2.639741878509521,False,True,True,False,-9.044,True,False
A_seed2030_final_top10,CC=C1N=CN2C(C)=C(C)N3CC(O)C(C)OC123,A,Random latent GA,group_a_random,2030,10,0.9641112685203552,3.187906265258789,7.342057704925537,3.666719913482666,True,True,False,False,-7.247,True,False
B_seed2026_final_top1,Cc1nc2nn1C13CC(C)(C)C4(OC(=O)CC4C(=O)N1)N3C2,B,SweetDB-seeded GA,group_b_dataset,2026,1,0.004589223768562,3.5642871856689453,6.107247352600098,2.930253028869629,False,True,True,False,-8.17,True,False
B_seed2026_final_top2,CCCCC1C(=O)N2C(C)c3ccc(o3)C2N1C(=O)CCC(=O)O,B,SweetDB-seeded GA,group_b_dataset,2026,2,0.9673831462860109,3.163259744644165,6.303479194641113,3.646951198577881,True,True,True,True,-7.591,True,True
B_seed2026_final_top3,NC(=O)CCC(=O)Oc1cccc(C(=O)NC2CCn3c4nc5ccc(cc53)C42)c1Cl,B,SweetDB-seeded GA,group_b_dataset,2026,3,0.9795589447021484,2.9423067569732666,6.369262218475342,3.432086229324341,True,True,True,True,-8.564,True,True
B_seed2026_final_top4,COC(=O)C12SC(C(=O)O)C3C(=O)N1C1CC(C)(C)CC(=C2c2ccccc2)N31,B,SweetDB-seeded GA,group_b_dataset,2026,4,0.0513534732162952,2.901816129684448,7.044070243835449,2.328575611114502,False,True,True,False,-7.692,True,False
B_seed2026_final_top5,CC1(C)C2C3N4CCN2C(=O)C4(CC(=O)O)C12Sc1ccccc1N32,B,SweetDB-seeded GA,group_b_dataset,2026,5,0.2384048402309417,2.868110656738281,6.70380163192749,2.518036823272705,False,True,True,False,-8.629,True,False
B_seed2026_final_top6,O=C(O)CC1C(=O)N2C(c3ccccc3)C3C4CC25N2CC4N4C2CC(N5C(=O)c2ccccc2)C134,B,SweetDB-seeded GA,group_b_dataset,2026,6,0.8921789526939392,2.8384265899658203,8.529542922973633,3.179881076812744,True,True,False,False,-10.224,True,False
B_seed2026_final_top7,CC1c2c3ccc(Oc4ccccc4)c2N2C(=O)C(CC(=O)O)N1C32,B,SweetDB-seeded GA,group_b_dataset,2026,7,0.0598981454968452,2.7325072288513184,6.834346771240234,2.170374870300293,False,True,True,False,-8.344,True,False
B_seed2026_final_top8,COC(=O)C1(Cc2ccccc2)N2C(=O)C34C(C(=O)O)C5NC(C(=O)N13)C21CC(C)(C)C5(C)N14,B,SweetDB-seeded GA,group_b_dataset,2026,8,0.9907551407814026,2.699852466583252,8.850533485412598,3.0685934829711914,True,True,False,False,-9.103,True,False
