method,seed,generation,latent_pairwise_distance,latent_dim_std
A,2027,9,1.6476728176248485,0.14632460474967957
A,2027,10,1.5224006517180082,0.13744916021823883
A,2027,11,1.2875456046441505,0.11704562604427338
A,2027,12,1.1640341321969854,0.10400259494781494
D,2029,1,8.950172990492021,0.8302379250526428
D,2029,2,8.515817926498665,0.8007950186729431
D,2029,3,7.9451724797487255,0.7518216371536255
D,2029,4,6.730459564239129,0.6549282670021057
D,2029,5,3.204576781563375,0.3188326060771942
D,2029,6,1.8496511321643303,0.17393597960472107
D,2029,7,1.610184687170489,0.15017835795879364
D,2029,8,1.6137265193736416,0.15034763514995575
D,2029,9,1.3832220010031229,0.13206949830055237
D,2029,10,2.1346786338707497,0.2658773362636566
D,2029,11,3.4717633438863973,0.3895750641822815
D,2029,12,4.627481769624798,0.45683035254478455
D,2026,1,8.950172990492021,0.8302379250526428
D,2026,2,8.5993149867003,0.8136466145515442
D,2026,3,8.214741338926485,0.784429132938385
D,2026,4,5.960224640506437,0.626603901386261
D,2026,5,3.568651210302594,0.32287687063217163
D,2026,6,2.37202434293155,0.2195775955915451
D,2026,7,1.1267455554556574,0.10556819289922714
D,2026,8,0.9359956918434165,0.08110903203487396
D,2026,9,0.9480954832729251,0.08344507217407227
D,2026,10,1.9003265104074587,0.25793737173080444
D,2026,11,2.702318394321135,0.3139866292476654
D,2026,12,3.8659944756277675,0.3974997103214264
D,2027,1,8.950172990492021,0.8302379250526428
D,2027,2,8.855194331791209,0.8315160870552063
D,2027,3,7.574788325956498,0.717507541179657
D,2027,4,5.731210057557314,0.5689071416854858
D,2027,5,2.0071636786406066,0.29855552315711975
D,2027,6,0.7923425101343242,0.06937155872583389
D,2027,7,0.8146551305535196,0.06996932625770569
D,2027,8,0.9908785226016209,0.08280695229768753
D,2027,9,1.092652896389194,0.09055360406637192
D,2027,10,2.004318742231391,0.27637723088264465
D,2027,11,3.39905935957514,0.41603824496269226
D,2027,12,6.120452811800201,0.5935974717140198
A,2029,1,9.710831280412345,0.8988763093948364
A,2029,2,9.512781732520837,0.8936342597007751
A,2029,3,7.587033807203688,0.7324219346046448
A,2029,4,6.316947849762851,0.6245335340499878
A,2029,5,5.177182226276946,0.4788719713687897
A,2029,6,5.334772831338576,0.4973751902580261
A,2029,7,4.5499241732317826,0.4284674823284149
A,2029,8,4.690663716556697,0.4319027364253998
A,2029,9,4.32316156231809,0.3930380046367645
A,2029,10,3.270209173018905,0.3144805133342743
A,2029,11,2.0236636575268605,0.20220935344696045
A,2029,12,1.4663444875300615,0.13623245060443878
B,2028,1,10.72450492025792,0.9931871294975281
B,2028,2,10.329889496064734,0.9687057137489319
B,2028,3,8.162861876241092,0.801548957824707
