generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve,method,seed
2,60,0.2854495048522949,2.942765235900879,3.916513681411743,3.916513681411743,3.6029655933380127,2.6930906772613525,2.691039800643921,3.5261430740356445,3.5261430740356445,3.130426406860352,0.6849344372749329,0.7807410955429077,5.663031101226807,5.29939079284668,20,0.6666666666666666,1,A,2030
3,90,0.3283565044403076,3.462667942047119,3.916513681411743,3.916513681411743,3.716286182403565,3.0415546894073486,3.0370774269104004,3.5261430740356445,3.5261430740356445,3.266362428665161,0.8747783303260803,0.7807410955429077,5.860779762268066,5.29939079284668,26,0.8666666666666667,2,A,2030
4,120,0.3663930892944336,3.748947143554688,4.284702777862549,4.284702777862549,3.988424301147461,3.299816131591797,3.264815092086792,3.8962342739105225,3.8962342739105225,3.598197221755981,0.8982619047164917,0.7769371867179871,5.698086261749268,4.703840732574463,30,1.0,0,A,2030
5,150,0.4108078479766845,4.082314968109131,4.475085735321045,4.475085735321045,4.313353538513184,3.678965091705322,3.470809936523437,4.006994724273682,4.006994724273682,3.9027419090271,0.8193995356559753,0.9361817836761476,5.119823932647705,5.343576431274414,29,0.9666666666666668,0,A,2030
6,180,0.4465045928955078,4.28230619430542,4.484397888183594,4.484397888183594,4.422102451324463,3.860050201416016,3.4992079734802246,4.015538215637207,4.015538215637207,3.9794750213623047,0.8445121645927429,0.9377191066741944,5.074973583221436,5.350514888763428,30,1.0,0,A,2030
7,210,0.491163969039917,4.403224468231201,4.50578498840332,4.50578498840332,4.485439777374268,3.964472770690918,3.5,4.0354108810424805,4.0354108810424805,4.0139641761779785,0.8775039315223694,0.9407481551170348,5.133636474609375,5.1781768798828125,30,1.0,0,A,2030
8,240,0.5364925861358643,4.467981338500977,4.528004169464111,4.528004169464111,4.506191730499268,4.011542320251465,3.5,4.047780990600586,4.047780990600586,4.0327324867248535,0.9128773808479308,0.9604464173316956,5.274938106536865,5.382350444793701,30,1.0,0,A,2030
9,270,0.5696468353271484,4.500041484832764,4.560359477996826,4.560359477996826,4.530364036560059,4.033169746398926,3.5,4.090201377868652,4.090201377868652,4.060140609741211,0.933743417263031,0.9403165578842164,5.287302494049072,5.327838897705078,30,1.0,0,A,2030
10,300,0.6126871109008789,4.522715091705322,4.566647052764893,4.566647052764893,4.554720878601074,4.050642013549805,3.5,4.097806930541992,4.097806930541992,4.078869819641113,0.9441461563110352,0.9376806020736694,5.272737979888916,5.207342147827148,30,1.0,0,A,2030
11,330,0.6532425880432129,4.551910877227783,4.593204975128174,4.593204975128174,4.571597576141357,4.079129695892334,3.5,4.111032962799072,4.111032962799072,4.095073699951172,0.9455615282058716,0.9643439054489136,5.295006275177002,5.295811653137207,30,1.0,0,A,2030
12,360,0.6955151557922363,4.5553083419799805,4.620019435882568,4.620019435882568,4.587368488311768,4.0847487449646,3.5,4.13308048248291,4.13308048248291,4.106375694274902,0.9411217570304872,0.9738776087760924,5.292024612426758,5.278533458709717,30,1.0,0,A,2030
