method,seed,generation,hard_pass,n,topk_logsw,topk_p_sweet,best_logsw,mean_ood
C,2027,1,3,5,2.6553146839141846,0.9980704545974731,2.914358377456665,6.043992233276367
C,2027,2,5,5,2.812798547744751,0.9998129963874817,2.9770212173461914,5.724231624603272
C,2027,3,3,3,2.9971672693888345,0.9999693632125854,3.14565372467041,5.241764386494954
C,2027,4,4,4,3.1178048849105835,0.9999554455280304,3.150019407272339,4.963473677635193
C,2027,5,5,5,3.1694122314453126,0.9999567985534668,3.219066619873047,4.98203706741333
C,2027,6,5,5,3.2282100677490235,0.9999370336532593,3.256078004837036,5.013698768615723
C,2027,7,5,5,3.291133260726929,0.9999573707580567,3.3583767414093018,4.911063861846924
C,2027,8,5,5,3.365562677383423,0.9999384164810181,3.386801481246948,4.871578407287598
C,2027,9,5,5,3.3955567836761475,0.9999398231506348,3.415196180343628,4.928276252746582
C,2027,10,5,5,3.4319155693054197,0.9999101042747498,3.4706594944000244,4.90936918258667
C,2027,11,5,5,3.4523712158203126,0.9999047875404358,3.4706594944000244,5.005182456970215
C,2027,12,5,5,3.4761157512664793,0.9998822689056397,3.4987599849700928,5.023971652984619
C,2028,1,3,5,2.6553146839141846,0.9980704545974731,2.914358377456665,6.043992233276367
C,2028,2,4,4,2.8990710973739624,0.9999332427978516,2.9961600303649902,4.679686546325684
C,2028,3,4,4,3.0191338658332825,0.9999618232250214,3.060793161392212,4.9634339809417725
C,2028,4,4,4,3.097094237804413,0.9999746680259705,3.1172921657562256,4.808591246604919
C,2028,5,5,5,3.1301952838897704,0.9999777793884277,3.1431915760040283,4.865477848052978
C,2028,6,3,3,3.152920961380005,0.9999750455220541,3.1708972454071045,4.831558386484782
C,2028,7,4,4,3.17667818069458,0.9999756813049316,3.1996960639953613,4.86792516708374
C,2028,8,5,5,3.2038488388061523,0.9999755620956421,3.214076519012451,4.9597138404846195
C,2028,9,5,5,3.228933048248291,0.9999716997146606,3.2569515705108643,4.811754989624023
C,2028,10,3,3,3.306187311808268,0.9999783436457316,3.3259940147399902,4.9005351066589355
C,2028,11,5,5,3.3227962493896483,0.9999781847000122,3.365539073944092,4.907987499237061
C,2028,12,3,3,3.3712026278177896,0.9999790589014689,3.3792221546173096,4.996598402659099
C,2029,1,3,5,2.6553146839141846,0.9980704545974731,2.914358377456665,6.043992233276367
C,2029,2,5,5,2.775310182571411,0.9996316313743592,2.914358377456665,6.316853809356689
C,2029,3,3,3,2.874155362447103,0.999875565369924,2.914358377456665,5.462595462799072
C,2029,4,3,3,2.9922881921132407,0.9999788204828898,3.0093367099761963,5.276189963022868
C,2029,5,3,3,3.1131484508514404,0.9999742905298868,3.1731135845184326,5.141817728678386
C,2029,6,5,5,3.162307024002075,0.9999767303466797,3.248765468597412,5.258131217956543
C,2029,7,3,3,3.1925288836161294,0.9999783436457316,3.248765468597412,5.284872849782308
C,2029,8,5,5,3.263151264190674,0.9999780654907227,3.3185014724731445,5.412042808532715
C,2029,9,5,5,3.2910754680633545,0.9999789953231811,3.326744556427002,5.4128721237182615
C,2029,10,5,5,3.3403705596923827,0.999978756904602,3.368023633956909,5.349176216125488
C,2029,11,5,5,3.376630353927612,0.999978756904602,3.419564008712769,5.3883086204528805
C,2029,12,5,5,3.41679425239563,0.9999734878540039,3.432518720626831,5.379409122467041
C,2030,1,3,5,2.6553146839141846,0.9980704545974731,2.914358377456665,6.043992233276367
C,2030,2,3,3,2.800574858983358,0.9998201131820679,2.9318926334381104,5.947030067443848
C,2030,3,4,4,3.0012396574020386,0.9999691545963287,3.104186534881592,5.237773776054382
C,2030,4,5,5,3.12019362449646,0.9999687910079956,3.206082344055176,5.153323078155518
C,2030,5,5,5,3.1871245861053468,0.9999738216400147,3.2240748405456543,5.046889400482177
C,2030,6,3,3,3.26043168703715,0.9999761581420898,3.2851004600524902,5.2727969487508135
C,2030,7,5,5,3.2828986167907717,0.9999748468399048,3.310906410217285,5.2261731147766115
C,2030,8,5,5,3.3078143119812013,0.9999732732772827,3.324047327041626,5.246480083465576
C,2030,9,5,5,3.3360111713409424,0.9999768018722535,3.365217447280884,5.221355342864991
C,2030,10,5,5,3.36056227684021,0.9999754667282105,3.365217447280884,5.345731353759765
C,2030,11,5,5,3.4167681694030763,0.9999720811843872,3.449003934860229,5.304940319061279
C,2030,12,4,4,3.447755217552185,0.9999747574329376,3.496971607208252,5.363633632659912
D,2026,1,3,5,2.6553146839141846,0.9980704545974731,2.914358377456665,6.043992233276367
D,2026,2,5,5,2.8001687049865724,0.9997889876365662,2.917757272720337,5.912720966339111
D,2026,3,4,4,3.001889944076538,0.9999003857374191,3.097930431365967,5.072126150131226
D,2026,4,5,5,3.026635026931763,0.9928622126579285,3.097930431365967,5.184590625762939
D,2026,5,5,5,3.093975830078125,0.999971604347229,3.113921642303467,4.95932035446167
