generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve,method,seed
7,210,0.7881367206573486,3.4920971393585205,3.5988802909851074,3.5988802909851074,3.5490517616271973,2.992106676101685,2.992106676101685,3.0988893508911133,3.0988893508911133,3.049060583114624,0.9999818205833436,0.9999819993972778,4.992122173309326,5.040714740753174,7.804159164428711,7.88632869720459,3.4920971393585205,3.5988802909851074,30,1.0,0,Gate + sweet predictor,2028
8,240,0.8620123863220215,3.5295231342315674,3.607905387878418,3.607905387878418,3.5761852264404297,3.0295324325561523,3.0295324325561523,3.107916116714477,3.107916116714477,3.076194524765014,0.9999815821647644,0.99997878074646,5.010366916656494,5.072380542755127,7.7769012451171875,7.818892002105713,3.5295231342315674,3.607905387878418,30,1.0,0,Gate + sweet predictor,2028
9,270,0.9577324390411376,3.5726914405822754,3.645932674407959,3.645932674407959,3.614095687866211,3.072700262069702,3.072700262069702,3.1459431648254395,3.1459431648254395,3.114105701446533,0.9999816417694092,0.9999791383743286,5.072417259216309,5.119235038757324,7.8116559982299805,7.919069766998291,3.5726914405822754,3.645932674407959,30,1.0,0,Gate + sweet predictor,2028
10,300,1.0327322483062744,3.597752094268799,3.664813995361328,3.664813995361328,3.6386077404022217,3.097761869430542,3.097761869430542,3.164824962615967,3.164824962615967,3.138618469238281,0.9999814629554749,0.9999780654907228,5.075759410858154,5.136910438537598,7.829953193664551,7.9441423416137695,3.597752094268799,3.664813995361328,30,1.0,0,Gate + sweet predictor,2028
11,330,1.11615252494812,3.620381355285645,3.685542583465576,3.685542583465576,3.664660692214966,3.120391368865967,3.120391368865967,3.185553550720215,3.185553550720215,3.1646711826324463,0.9999788999557496,0.9999778270721436,5.094761848449707,5.0735859870910645,7.83563232421875,7.832913875579834,3.620381355285645,3.685542583465576,30,1.0,0,Gate + sweet predictor,2028
12,360,1.1859686374664309,3.658682584762573,3.704800605773926,3.704800605773926,3.691044569015503,3.158693552017212,3.158693552017212,3.204811811447144,3.204811811447144,3.1910557746887207,0.999978005886078,0.9999775886535645,5.1123576164245605,5.059474945068359,7.852218627929687,7.935214042663574,3.658682584762573,3.704800605773926,30,1.0,0,Gate + sweet predictor,2028
1,30,0.3145034313201904,2.232408046722412,3.265838861465454,3.265838861465454,2.8679778575897217,1.884840488433838,1.884840488433838,2.765846967697144,2.765846967697144,2.404982566833496,0.8013492226600647,0.9999837875366212,5.248062133789063,5.298385143280029,7.623751163482666,7.660553932189941,2.232408046722412,3.265838861465454,11,0.3666666666666666,0,Gate + sweet predictor,2029
2,60,0.4036071300506592,2.7766270637512207,3.3223764896392822,3.3223764896392822,3.120245695114136,2.3264708518981934,2.3264708518981934,2.82238507270813,2.82238507270813,2.6220474243164062,0.931559920310974,0.9999828338623048,5.478917121887207,5.172839164733887,8.308167457580566,7.804107666015625,2.7766270637512207,3.3223764896392822,24,0.8,0,Gate + sweet predictor,2029
3,90,0.4925847053527832,3.026604175567627,3.3223764896392822,3.3223764896392822,3.211937665939331,2.5302796363830566,2.5302796363830566,2.82238507270813,2.82238507270813,2.711975574493408,0.9926484823226928,0.9999828338623048,5.424941062927246,5.172839164733887,8.091883659362793,7.804107666015625,3.026604175567627,3.3223764896392822,30,1.0,1,Gate + sweet predictor,2029
4,120,0.5700151920318604,3.1743862628936768,3.3263099193573,3.3263099193573,3.2839515209198,2.675201892852783,2.675201892852783,2.8263192176818848,2.8263192176818848,2.783963441848755,0.9983696341514589,0.9999815225601196,5.339704990386963,5.304646968841553,7.874322891235352,7.788144588470459,3.1743862628936768,3.3263099193573,30,1.0,0,Gate + sweet predictor,2029
